session_id,x,y,time,event_type,label
_5rntzccy9,539,525,51,move,human
_5rntzccy9,456,460,102,move,human
_5rntzccy9,429,384,159,move,human
_5rntzccy9,431,368,218,move,human
_5rntzccy9,431,367,271,move,human
_5rntzccy9,430,366,367,move,human
_5rntzccy9,430,366,448,move,human
_5rntzccy9,430,365,515,move,human
_5rntzccy9,430,364,640,move,human
_5rntzccy9,429,364,714,move,human
_5rntzccy9,424,357,3520,move,human
_5rntzccy9,373,235,3578,move,human
_5rntzccy9,365,120,3636,move,human
_5rntzccy9,363,97,3694,move,human
_5rntzccy9,362,95,3753,move,human
_5rntzccy9,361,95,3806,move,human
_5rntzccy9,355,101,3864,move,human
_5rntzccy9,332,118,3919,move,human
_5rntzccy9,222,165,3978,move,human
_5rntzccy9,166,159,4320,move,human
_5rntzccy9,22,2,4660,move,human
_5rntzccy9,19,11,4871,move,human
_5rntzccy9,539,525,51,move,human
_5rntzccy9,456,460,102,move,human
_5rntzccy9,429,384,159,move,human
_5rntzccy9,431,368,218,move,human
_5rntzccy9,431,367,271,move,human
_5rntzccy9,430,366,367,move,human
_5rntzccy9,430,366,448,move,human
_5rntzccy9,430,365,515,move,human
_5rntzccy9,430,364,640,move,human
_5rntzccy9,429,364,714,move,human
_5rntzccy9,424,357,3520,move,human
_5rntzccy9,373,235,3578,move,human
_5rntzccy9,365,120,3636,move,human
_5rntzccy9,363,97,3694,move,human
_5rntzccy9,362,95,3753,move,human
_5rntzccy9,361,95,3806,move,human
_5rntzccy9,355,101,3864,move,human
_5rntzccy9,332,118,3919,move,human
_5rntzccy9,222,165,3978,move,human
_5rntzccy9,166,159,4320,move,human
_5rntzccy9,22,2,4660,move,human
_5rntzccy9,19,11,4871,move,human
_0ecynq9ro,1169,295,58,move,human
_0ecynq9ro,970,290,117,move,human
_0ecynq9ro,946,288,390,move,human
_0ecynq9ro,712,236,447,move,human
_0ecynq9ro,632,210,499,move,human
_0ecynq9ro,613,207,830,move,human
_0ecynq9ro,332,105,888,move,human
_0ecynq9ro,283,90,1190,move,human
_0ecynq9ro,74,35,1248,move,human
_0ecynq9ro,20,5,1306,move,human
_0ecynq9ro,16,0,1531,move,human
_0ecynq9ro,42,30,1590,move,human
_0ecynq9ro,43,33,1659,move,human
_0ecynq9ro,42,32,1807,move,human
_0ecynq9ro,38,28,1858,move,human
_10i6ifxl0,682,334,57,move,human
_10i6ifxl0,390,190,417,move,human
_10i6ifxl0,126,47,468,move,human
_10i6ifxl0,13,3,828,move,human
_10i6ifxl0,14,4,911,move,human
_10i6ifxl0,25,14,968,move,human
_10i6ifxl0,31,24,1034,move,human
_p9r4fef72,334,298,53,move,human
_p9r4fef72,300,279,111,move,human
_p9r4fef72,291,275,170,move,human
_p9r4fef72,279,270,675,move,human
_p9r4fef72,193,235,733,move,human
_p9r4fef72,150,211,785,move,human
_p9r4fef72,135,199,843,move,human
_p9r4fef72,113,183,1448,move,human
_p9r4fef72,62,114,1504,move,human
_p9r4fef72,50,71,1558,move,human
_p9r4fef72,48,55,1621,move,human
_p9r4fef72,47,54,1690,move,human
_p9r4fef72,47,52,2152,move,human
_p9r4fef72,38,43,2210,move,human
_p9r4fef72,37,41,2268,move,human
_p9r4fef72,34,38,2328,move,human
_p9r4fef72,34,37,2385,move,human
_p9r4fef72,33,35,2467,move,human
_p9r4fef72,32,30,2525,move,human
_p9r4fef72,32,22,2582,move,human
_p9r4fef72,32,19,2666,move,human
_p9r4fef72,32,18,2718,move,human
_p9r4fef72,334,298,53,move,human
_p9r4fef72,300,279,111,move,human
_p9r4fef72,291,275,170,move,human
_p9r4fef72,279,270,675,move,human
_p9r4fef72,193,235,733,move,human
_p9r4fef72,150,211,785,move,human
_p9r4fef72,135,199,843,move,human
_p9r4fef72,113,183,1448,move,human
_p9r4fef72,62,114,1504,move,human
_p9r4fef72,50,71,1558,move,human
_p9r4fef72,48,55,1621,move,human
_p9r4fef72,47,54,1690,move,human
_p9r4fef72,47,52,2152,move,human
_p9r4fef72,38,43,2210,move,human
_p9r4fef72,37,41,2268,move,human
_p9r4fef72,34,38,2328,move,human
_p9r4fef72,34,37,2385,move,human
_p9r4fef72,33,35,2467,move,human
_p9r4fef72,32,30,2525,move,human
_p9r4fef72,32,22,2582,move,human
_p9r4fef72,32,19,2666,move,human
_p9r4fef72,32,18,2718,move,human
_ynjpje59s,189,196,52,move,human
_ynjpje59s,29,159,110,move,human
_ynjpje59s,8,114,168,move,human
_ynjpje59s,8,108,264,move,human
_ynjpje59s,16,89,322,move,human
_ynjpje59s,24,46,376,move,human
_ynjpje59s,21,16,434,move,human
_ynjpje59s,18,4,492,move,human
_ynjpje59s,14,1,660,move,human
_ynjpje59s,14,6,712,move,human
_ynjpje59s,14,10,763,move,human
_ynjpje59s,15,18,836,move,human
_ynjpje59s,189,196,52,move,human
_ynjpje59s,29,159,110,move,human
_ynjpje59s,8,114,168,move,human
_ynjpje59s,8,108,264,move,human
_ynjpje59s,16,89,322,move,human
_ynjpje59s,24,46,376,move,human
_ynjpje59s,21,16,434,move,human
_ynjpje59s,18,4,492,move,human
_ynjpje59s,14,1,660,move,human
_ynjpje59s,14,6,712,move,human
_ynjpje59s,14,10,763,move,human
_ynjpje59s,15,18,836,move,human
_ncm4pavqg,74,83,57,move,human
_ncm4pavqg,76,88,110,move,human
_ncm4pavqg,55,84,168,move,human
_ncm4pavqg,43,78,224,move,human
_ncm4pavqg,43,75,301,move,human
_ncm4pavqg,42,51,352,move,human
_ncm4pavqg,38,41,407,move,human
_ncm4pavqg,38,38,579,move,human
_ncm4pavqg,45,5,631,move,human
_ncm4pavqg,42,3,874,move,human
_ncm4pavqg,42,8,925,move,human
_ncm4pavqg,42,10,991,move,human
_ncm4pavqg,42,14,1050,move,human
_fitm0w85c,38,0,274,move,human
_fitm0w85c,38,8,337,move,human
_fitm0w85c,38,10,396,move,human
_5abgn6exw,458,65,58,move,human
_5abgn6exw,430,94,321,move,human
_5abgn6exw,370,260,372,move,human
_5abgn6exw,325,314,424,move,human
_5abgn6exw,304,319,482,move,human
_5abgn6exw,282,302,770,move,human
_5abgn6exw,202,222,827,move,human
_5abgn6exw,150,175,881,move,human
_5abgn6exw,140,161,940,move,human
_5abgn6exw,127,141,998,move,human
_5abgn6exw,100,94,1056,move,human
_5abgn6exw,93,76,1115,move,human
_5abgn6exw,92,73,1430,move,human
_5abgn6exw,74,54,1488,move,human
_5abgn6exw,62,48,1539,move,human
_5abgn6exw,52,39,1599,move,human
_5abgn6exw,50,39,1651,move,human
_5abgn6exw,46,34,1709,move,human
_5abgn6exw,39,22,1763,move,human
_5abgn6exw,39,21,1863,move,human
_p5bo5rlpe,694,328,55,move,human
_p5bo5rlpe,509,270,114,move,human
