session_id,x,y,time,event_type,label
_1ujj0kedg,75,154,56,move,human
_1ujj0kedg,66,118,114,move,human
_1ujj0kedg,66,106,169,move,human
_1ujj0kedg,66,102,234,move,human
_1ujj0kedg,66,54,288,move,human
_1ujj0kedg,62,10,344,move,human
_1ujj0kedg,62,5,553,move,human
_1ujj0kedg,54,12,608,move,human
_1ujj0kedg,46,15,672,move,human
_nf2n08y64,875,406,55,move,human
_nf2n08y64,806,388,113,move,human
_nf2n08y64,771,374,172,move,human
_nf2n08y64,622,312,230,move,human
_nf2n08y64,399,222,288,move,human
_nf2n08y64,323,184,346,move,human
_nf2n08y64,322,184,472,move,human
_nf2n08y64,266,154,527,move,human
_nf2n08y64,186,101,583,move,human
_nf2n08y64,150,68,640,move,human
_nf2n08y64,123,52,696,move,human
_nf2n08y64,82,14,754,move,human
_nf2n08y64,58,0,995,move,human
_nf2n08y64,51,8,1047,move,human
_nf2n08y64,45,18,1104,move,human
_db5mq3tfg,850,332,56,move,human
_db5mq3tfg,699,278,111,move,human
_db5mq3tfg,598,245,169,move,human
_db5mq3tfg,546,232,228,move,human
_db5mq3tfg,506,226,286,move,human
_db5mq3tfg,458,214,345,move,human
_db5mq3tfg,349,182,402,move,human
_db5mq3tfg,253,152,453,move,human
_db5mq3tfg,178,122,510,move,human
_db5mq3tfg,162,114,561,move,human
_db5mq3tfg,147,101,618,move,human
_db5mq3tfg,127,86,669,move,human
_db5mq3tfg,107,62,727,move,human
_db5mq3tfg,87,37,785,move,human
_db5mq3tfg,79,30,847,move,human
_db5mq3tfg,71,26,904,move,human
_db5mq3tfg,70,26,1025,move,human
_db5mq3tfg,63,26,1384,move,human
_db5mq3tfg,61,26,1457,move,human
_db5mq3tfg,38,24,1519,move,human
_zvs2ey9zn,874,372,57,move,human
_zvs2ey9zn,769,350,115,move,human
_zvs2ey9zn,630,322,166,move,human
_zvs2ey9zn,433,286,224,move,human
_zvs2ey9zn,330,269,282,move,human
_zvs2ey9zn,266,258,340,move,human
_zvs2ey9zn,222,249,398,move,human
_zvs2ey9zn,141,230,457,move,human
_zvs2ey9zn,66,214,514,move,human
_zvs2ey9zn,0,198,565,move,human
_zvs2ey9zn,0,176,623,move,human
_zvs2ey9zn,0,165,681,move,human
_zvs2ey9zn,0,162,824,move,human
_zvs2ey9zn,0,141,878,move,human
_zvs2ey9zn,0,114,934,move,human
_zvs2ey9zn,0,85,991,move,human
_zvs2ey9zn,0,64,1048,move,human
_zvs2ey9zn,0,46,1105,move,human
_zvs2ey9zn,0,30,1164,move,human
_zvs2ey9zn,0,18,1222,move,human
_zvs2ey9zn,0,14,1295,move,human
_zvs2ey9zn,2,6,1503,move,human
_zvs2ey9zn,15,9,1558,move,human
_zvs2ey9zn,24,10,1614,move,human
_zvs2ey9zn,30,10,1670,move,human
_011ba7v1f,1018,480,222,move,human
_011ba7v1f,949,441,278,move,human
_011ba7v1f,874,400,337,move,human
_011ba7v1f,778,360,395,move,human
_011ba7v1f,658,306,453,move,human
_011ba7v1f,537,256,511,move,human
_011ba7v1f,440,218,569,move,human
_011ba7v1f,359,186,627,move,human
_011ba7v1f,298,162,685,move,human
_011ba7v1f,246,141,744,move,human
_011ba7v1f,189,110,802,move,human
_011ba7v1f,125,73,853,move,human
_011ba7v1f,80,41,910,move,human
_011ba7v1f,78,40,973,move,human
_011ba7v1f,77,38,1102,move,human
_011ba7v1f,60,32,1164,move,human
_011ba7v1f,59,30,1254,move,human
_011ba7v1f,57,30,1382,move,human
_011ba7v1f,53,29,1862,move,human
_wuby0z6br,895,370,58,move,human
_wuby0z6br,870,352,116,move,human
_wuby0z6br,784,306,175,move,human
_wuby0z6br,604,230,232,move,human
_wuby0z6br,442,162,290,move,human
_wuby0z6br,302,109,341,move,human
_wuby0z6br,203,66,398,move,human
_wuby0z6br,194,62,544,move,human
_wuby0z6br,152,45,599,move,human
_wuby0z6br,114,29,655,move,human
_wuby0z6br,102,25,719,move,human
_wuby0z6br,84,21,775,move,human
_wuby0z6br,56,13,831,move,human
_ek4pn9h0g,876,362,56,move,human
_ek4pn9h0g,795,324,114,move,human
_ek4pn9h0g,682,270,173,move,human
_ek4pn9h0g,548,213,231,move,human
_ek4pn9h0g,454,174,289,move,human
_ek4pn9h0g,399,146,347,move,human
_ek4pn9h0g,348,122,398,move,human
_ek4pn9h0g,235,62,455,move,human
_ek4pn9h0g,193,37,513,move,human
_ek4pn9h0g,188,34,601,move,human
_ek4pn9h0g,120,6,654,move,human
_ek4pn9h0g,101,0,726,move,human
_ek4pn9h0g,55,0,1029,move,human
