session_id,x,y,time,event_type,label
_2ktdzol0s,717,333,54,move,human
_2ktdzol0s,687,313,113,move,human
_2ktdzol0s,568,275,171,move,human
_2ktdzol0s,457,245,230,move,human
_2ktdzol0s,368,222,287,move,human
_2ktdzol0s,334,211,346,move,human
_2ktdzol0s,291,186,403,move,human
_2ktdzol0s,239,150,462,move,human
_2ktdzol0s,180,99,520,move,human
_2ktdzol0s,143,68,579,move,human
_2ktdzol0s,125,46,637,move,human
_2ktdzol0s,115,45,695,move,human
_2ktdzol0s,86,38,753,move,human
_2ktdzol0s,64,38,804,move,human
_2ktdzol0s,47,31,861,move,human
_2ktdzol0s,34,26,919,move,human
_2ktdzol0s,26,20,977,move,human
_fdjosa1he,903,512,53,move,human
_fdjosa1he,882,489,111,move,human
_fdjosa1he,859,446,169,move,human
_fdjosa1he,835,397,220,move,human
_fdjosa1he,785,329,277,move,human
_fdjosa1he,719,283,336,move,human
_fdjosa1he,650,252,394,move,human
_fdjosa1he,543,226,453,move,human
_fdjosa1he,435,209,511,move,human
_fdjosa1he,414,217,691,move,human
_fdjosa1he,350,204,744,move,human
_fdjosa1he,170,201,801,move,human
_fdjosa1he,94,203,860,move,human
_fdjosa1he,85,187,918,move,human
_fdjosa1he,73,150,976,move,human
_fdjosa1he,71,131,1034,move,human
_fdjosa1he,65,113,1085,move,human
_fdjosa1he,58,91,1142,move,human
_fdjosa1he,56,81,1203,move,human
_fdjosa1he,52,75,1259,move,human
_fdjosa1he,42,56,1317,move,human
_fdjosa1he,41,50,1383,move,human
_fdjosa1he,39,41,1434,move,human
_fdjosa1he,39,33,1487,move,human
_fdjosa1he,39,28,1539,move,human
_2r2fxzpl1,309,506,53,move,human
_2r2fxzpl1,225,553,112,move,human
_2r2fxzpl1,220,556,218,move,human
_2r2fxzpl1,222,484,269,move,human
_2r2fxzpl1,221,402,328,move,human
_2r2fxzpl1,215,334,386,move,human
_2r2fxzpl1,209,288,444,move,human
_2r2fxzpl1,190,246,503,move,human
_2r2fxzpl1,163,195,560,move,human
_2r2fxzpl1,157,185,647,move,human
_2r2fxzpl1,163,167,702,move,human
_2r2fxzpl1,183,134,760,move,human
_2r2fxzpl1,226,107,818,move,human
_2r2fxzpl1,224,90,876,move,human
_2r2fxzpl1,171,67,935,move,human
_2r2fxzpl1,118,59,994,move,human
_2r2fxzpl1,100,53,1051,move,human
_2r2fxzpl1,90,46,1111,move,human
_2r2fxzpl1,88,46,1169,move,human
_2r2fxzpl1,66,36,1225,move,human
_2r2fxzpl1,54,24,1276,move,human
_eajp6gqxr,783,382,51,move,human
_eajp6gqxr,736,315,109,move,human
_eajp6gqxr,682,273,160,move,human
_eajp6gqxr,609,245,218,move,human
_eajp6gqxr,519,239,276,move,human
_eajp6gqxr,504,247,613,move,human
_eajp6gqxr,463,208,667,move,human
_eajp6gqxr,379,195,725,move,human
_eajp6gqxr,231,164,783,move,human
_eajp6gqxr,123,138,842,move,human
_eajp6gqxr,87,116,900,move,human
_eajp6gqxr,90,93,959,move,human
_eajp6gqxr,91,76,1017,move,human
_eajp6gqxr,92,63,1077,move,human
_eajp6gqxr,90,61,1137,move,human
_eajp6gqxr,78,49,1191,move,human
_eajp6gqxr,58,38,1249,move,human
_eajp6gqxr,48,32,1300,move,human
_eajp6gqxr,47,31,1608,move,human
_eajp6gqxr,41,25,1661,move,human
_eajp6gqxr,39,21,1716,move,human
,48,31,1729260256808,click,human
_baiayr6dr,109,463,56,move,human
_baiayr6dr,114,423,113,move,human
_baiayr6dr,130,362,172,move,human
_baiayr6dr,156,326,230,move,human
_baiayr6dr,159,306,289,move,human
_baiayr6dr,146,291,347,move,human
_baiayr6dr,114,265,405,move,human
_baiayr6dr,55,211,463,move,human
_baiayr6dr,0,127,522,move,human
_baiayr6dr,0,89,580,move,human
_baiayr6dr,0,88,898,move,human
_baiayr6dr,0,64,954,move,human
_baiayr6dr,0,37,1012,move,human
_baiayr6dr,2,18,1070,move,human
_baiayr6dr,3,4,1284,move,human
_baiayr6dr,10,6,1340,move,human
_baiayr6dr,11,6,1616,move,human
_baiayr6dr,19,10,1673,move,human
_w6a6vicku,1018,358,56,move,human
_w6a6vicku,1017,315,115,move,human
_w6a6vicku,1008,242,172,move,human
_w6a6vicku,982,183,230,move,human
_w6a6vicku,944,161,281,move,human
_w6a6vicku,905,165,339,move,human
_w6a6vicku,886,163,578,move,human
_w6a6vicku,937,164,644,move,human
