session_id,x,y,time,event_type,label
_lx3vdzqy7,370,206,59,move,robot
_lx3vdzqy7,644,359,121,move,robot
_lx3vdzqy7,914,510,182,move,robot
_lx3vdzqy7,1104,616,245,move,robot
_lx3vdzqy7,1067,595,308,move,robot
_lx3vdzqy7,1029,574,370,move,robot
_lx3vdzqy7,991,552,432,move,robot
_lx3vdzqy7,953,531,494,move,robot
_lx3vdzqy7,933,520,555,move,robot
_lx3vdzqy7,896,499,618,move,robot
_lx3vdzqy7,859,479,678,move,robot
_lx3vdzqy7,820,457,740,move,robot
_lx3vdzqy7,798,445,802,move,robot
_lx3vdzqy7,761,424,864,move,robot
_lx3vdzqy7,723,403,926,move,robot
_lx3vdzqy7,686,382,988,move,robot
_lx3vdzqy7,648,361,1051,move,robot
_lx3vdzqy7,627,349,1112,move,robot
_lx3vdzqy7,589,328,1174,move,robot
_lx3vdzqy7,552,307,1235,move,robot
_lx3vdzqy7,513,285,1300,move,robot
_lx3vdzqy7,492,274,1363,move,robot
_lx3vdzqy7,456,254,1425,move,robot
_lx3vdzqy7,419,233,1486,move,robot
_lx3vdzqy7,380,211,1549,move,robot
_lx3vdzqy7,342,190,1611,move,robot
_lx3vdzqy7,322,179,1673,move,robot
_lx3vdzqy7,284,157,1735,move,robot
_lx3vdzqy7,245,136,1799,move,robot
_lx3vdzqy7,207,114,1862,move,robot
_lx3vdzqy7,187,103,1924,move,robot
_lx3vdzqy7,150,82,1985,move,robot
_lx3vdzqy7,112,61,2048,move,robot
_lx3vdzqy7,74,40,2111,move,robot
_lx3vdzqy7,36,19,2172,move,robot
_mn04eo8td,301,74,60,move,robot
_mn04eo8td,529,131,122,move,robot
_mn04eo8td,761,188,185,move,robot
_mn04eo8td,920,228,247,move,robot
_mn04eo8td,890,221,309,move,robot
_mn04eo8td,859,213,370,move,robot
_mn04eo8td,827,206,433,move,robot
_mn04eo8td,796,198,495,move,robot
_mn04eo8td,779,194,557,move,robot
_mn04eo8td,748,187,619,move,robot
_mn04eo8td,717,180,680,move,robot
_mn04eo8td,685,172,743,move,robot
_mn04eo8td,667,168,806,move,robot
_mn04eo8td,637,161,866,move,robot
_mn04eo8td,606,153,928,move,robot
_mn04eo8td,575,146,990,move,robot
_mn04eo8td,543,138,1052,move,robot
_mn04eo8td,525,134,1114,move,robot
_mn04eo8td,494,127,1175,move,robot
_mn04eo8td,462,119,1237,move,robot
_mn04eo8td,431,112,1301,move,robot
_mn04eo8td,414,108,1363,move,robot
_mn04eo8td,383,100,1426,move,robot
_mn04eo8td,352,93,1488,move,robot
_mn04eo8td,320,85,1550,move,robot
_mn04eo8td,288,78,1614,move,robot
_mn04eo8td,272,74,1676,move,robot
_mn04eo8td,242,67,1737,move,robot
_mn04eo8td,210,59,1800,move,robot
_mn04eo8td,179,52,1863,move,robot
_mn04eo8td,161,48,1924,move,robot
_mn04eo8td,131,41,1986,move,robot
_mn04eo8td,100,33,2047,move,robot
_mn04eo8td,68,26,2110,move,robot
_mn04eo8td,37,18,2171,move,robot
_r8yvy0zu9,161,113,60,move,robot
_r8yvy0zu9,280,197,121,move,robot
_r8yvy0zu9,401,282,182,move,robot
_r8yvy0zu9,487,343,244,move,robot
_r8yvy0zu9,465,327,306,move,robot
_r8yvy0zu9,443,311,367,move,robot
_r8yvy0zu9,421,295,430,move,robot
_r8yvy0zu9,398,279,491,move,robot
_r8yvy0zu9,385,270,554,move,robot
_r8yvy0zu9,363,254,615,move,robot
_r8yvy0zu9,341,238,677,move,robot
_r8yvy0zu9,318,222,739,move,robot
_r8yvy0zu9,306,213,800,move,robot
_r8yvy0zu9,284,197,863,move,robot
_r8yvy0zu9,261,181,925,move,robot
_r8yvy0zu9,239,165,987,move,robot
_r8yvy0zu9,216,149,1048,move,robot
_r8yvy0zu9,204,140,1109,move,robot
_r8yvy0zu9,182,124,1172,move,robot
_r8yvy0zu9,159,108,1235,move,robot
_r8yvy0zu9,137,92,1297,move,robot
_r8yvy0zu9,125,83,1359,move,robot
_r8yvy0zu9,103,67,1421,move,robot
_r8yvy0zu9,80,51,1482,move,robot
