session_id,x,y,time,event_type,label
_1pxpcwoo3,1399,426,444,move,human
_1pxpcwoo3,1326,418,498,move,human
_1pxpcwoo3,1135,420,554,move,human
_1pxpcwoo3,933,395,609,move,human
_1pxpcwoo3,791,369,665,move,human
_1pxpcwoo3,724,355,721,move,human
_1pxpcwoo3,651,333,776,move,human
_1pxpcwoo3,650,334,948,move,human
_1pxpcwoo3,461,258,999,move,human
_1pxpcwoo3,246,158,1054,move,human
_1pxpcwoo3,142,79,1110,move,human
_1pxpcwoo3,96,50,1165,move,human
_1pxpcwoo3,85,39,1221,move,human
_1pxpcwoo3,74,30,1277,move,human
_1pxpcwoo3,63,14,1333,move,human
_1pxpcwoo3,62,14,1479,move,human
_iem55uv10,674,793,54,move,human
_iem55uv10,684,795,325,move,human
_iem55uv10,579,756,381,move,human
_iem55uv10,347,577,437,move,human
_iem55uv10,269,446,492,move,human
_iem55uv10,277,370,548,move,human
_iem55uv10,285,371,750,move,human
_iem55uv10,576,381,805,move,human
_iem55uv10,861,378,861,move,human
_iem55uv10,789,299,916,move,human
_iem55uv10,385,207,972,move,human
_iem55uv10,243,179,1028,move,human
_iem55uv10,165,109,1083,move,human
_iem55uv10,124,79,1139,move,human
_iem55uv10,112,69,1194,move,human
_iem55uv10,49,46,1250,move,human
_iem55uv10,16,21,1306,move,human
_ocxgrw77u,1029,696,441,move,human
_ocxgrw77u,1278,629,494,move,human
_ocxgrw77u,1558,395,550,move,human
_ocxgrw77u,1390,254,606,move,human
_ocxgrw77u,855,163,661,move,human
_ocxgrw77u,482,174,717,move,human
_ocxgrw77u,361,164,772,move,human
_ocxgrw77u,333,143,828,move,human
_ocxgrw77u,313,135,884,move,human
_ocxgrw77u,269,120,939,move,human
_ocxgrw77u,134,92,995,move,human
_ocxgrw77u,50,75,1050,move,human
_ocxgrw77u,4,49,1106,move,human
_ocxgrw77u,0,20,1330,move,human
_ocxgrw77u,5,18,1396,move,human
_ocxgrw77u,6,18,1478,move,human
_ocxgrw77u,12,18,1537,move,human
_ocxgrw77u,16,17,1591,move,human
_zvlcj9viy,1561,567,976,move,human
_zvlcj9viy,1568,570,1035,move,human
_zvlcj9viy,1569,570,1624,move,human
_zvlcj9viy,1657,421,1675,move,human
_zvlcj9viy,1647,301,1731,move,human
_zvlcj9viy,1563,265,1786,move,human
_zvlcj9viy,1327,321,1842,move,human
_zvlcj9viy,1020,372,1897,move,human
_zvlcj9viy,837,368,1953,move,human
_zvlcj9viy,758,315,2009,move,human
_zvlcj9viy,710,271,2064,move,human
_zvlcj9viy,714,266,2298,move,human
_zvlcj9viy,419,215,2349,move,human
_zvlcj9viy,16,236,2405,move,human
_zvlcj9viy,6,359,2488,move,human
_zvlcj9viy,96,392,2544,move,human
_zvlcj9viy,45,204,2600,move,human
_zvlcj9viy,0,73,2795,move,human
_zvlcj9viy,18,53,2850,move,human
_zvlcj9viy,20,44,2902,move,human
_zvlcj9viy,22,38,2974,move,human
_zvlcj9viy,24,33,3031,move,human
_zvlcj9viy,26,25,3089,move,human
_zvlcj9viy,29,20,3142,move,human
_l3ifq7yi6,845,668,57,move,human
_l3ifq7yi6,476,445,113,move,human
_l3ifq7yi6,254,341,169,move,human
_l3ifq7yi6,151,284,224,move,human
_l3ifq7yi6,145,279,415,move,human
_l3ifq7yi6,129,215,467,move,human
_l3ifq7yi6,85,125,523,move,human
_l3ifq7yi6,64,83,579,move,human
_l3ifq7yi6,66,69,634,move,human
_l3ifq7yi6,66,45,690,move,human
_l3ifq7yi6,54,6,745,move,human
_l3ifq7yi6,49,0,846,move,human
_l3ifq7yi6,49,1,929,move,human
_l3ifq7yi6,43,9,982,move,human
_l3ifq7yi6,42,17,1037,move,human
_ml5h74yq3,1324,437,55,move,human
_ml5h74yq3,1059,377,111,move,human
_ml5h74yq3,705,325,167,move,human
_ml5h74yq3,383,267,222,move,human
_ml5h74yq3,185,213,278,move,human
_ml5h74yq3,104,183,333,move,human
_ml5h74yq3,100,179,420,move,human
_ml5h74yq3,77,131,472,move,human
_ml5h74yq3,57,85,528,move,human
_ml5h74yq3,50,68,584,move,human
_ml5h74yq3,47,56,639,move,human
_ml5h74yq3,47,37,695,move,human
_ml5h74yq3,43,23,750,move,human
_ml5h74yq3,42,20,821,move,human
_ml5h74yq3,41,20,937,move,human
_bwvf4u301,1585,470,56,move,human
_bwvf4u301,1264,393,114,move,human
_bwvf4u301,935,337,167,move,human
_bwvf4u301,568,268,223,move,human
_bwvf4u301,271,194,278,move,human
_bwvf4u301,67,135,334,move,human
_bwvf4u301,8,105,389,move,human
_bwvf4u301,2,77,446,move,human
_bwvf4u301,10,64,501,move,human
_bwvf4u301,19,51,556,move,human
_bwvf4u301,25,42,612,move,human
_bwvf4u301,31,33,667,move,human
_bwvf4u301,33,28,852,move,human
_bwvf4u301,39,20,904,move,human
_mou6xk4qw,1550,468,55,move,human
_mou6xk4qw,1577,486,111,move,human
_mou6xk4qw,1611,507,167,move,human
_mou6xk4qw,1635,524,222,move,human
_mou6xk4qw,1638,527,642,move,human
_mou6xk4qw,1587,517,695,move,human
_mou6xk4qw,1374,508,752,move,human
_mou6xk4qw,1096,551,806,move,human
_mou6xk4qw,800,629,862,move,human
_mou6xk4qw,564,655,917,move,human
_mou6xk4qw,384,629,973,move,human
_mou6xk4qw,227,542,1029,move,human
_mou6xk4qw,106,393,1084,move,human
_mou6xk4qw,38,254,1140,move,human
_mou6xk4qw,38,174,1196,move,human
_mou6xk4qw,38,118,1251,move,human
_mou6xk4qw,39,91,1307,move,human
_mou6xk4qw,45,65,1362,move,human
_mou6xk4qw,46,49,1415,move,human
_mou6xk4qw,45,41,1467,move,human
_mou6xk4qw,45,35,1522,move,human
_mou6xk4qw,45,29,1578,move,human
_8opj3s3c9,1463,533,53,move,human
_8opj3s3c9,1289,705,110,move,human
_8opj3s3c9,1134,802,164,move,human
_8opj3s3c9,993,825,219,move,human
_8opj3s3c9,900,828,275,move,human
_8opj3s3c9,834,813,331,move,human
_8opj3s3c9,707,685,386,move,human
_8opj3s3c9,582,502,442,move,human
_8opj3s3c9,558,472,497,move,human
_8opj3s3c9,545,449,554,move,human
_8opj3s3c9,507,414,609,move,human
_8opj3s3c9,356,307,664,move,human
_8opj3s3c9,194,258,720,move,human
_8opj3s3c9,83,220,775,move,human
_8opj3s3c9,79,190,831,move,human
_8opj3s3c9,99,130,887,move,human
_8opj3s3c9,83,78,942,move,human
_8opj3s3c9,60,54,998,move,human
_8opj3s3c9,45,42,1054,move,human
_8opj3s3c9,40,32,1106,move,human
_8opj3s3c9,39,32,1261,move,human
_8opj3s3c9,37,24,1314,move,human
_8opj3s3c9,37,23,1369,move,human
_ztxvvtulh,1229,768,119,move,human
_ztxvvtulh,1248,768,417,move,human
_ztxvvtulh,1242,749,471,move,human
_ztxvvtulh,1179,675,526,move,human
_ztxvvtulh,1004,562,582,move,human
_ztxvvtulh,664,473,638,move,human
_ztxvvtulh,388,433,693,move,human
_ztxvvtulh,288,406,749,move,human
_ztxvvtulh,242,388,805,move,human
_ztxvvtulh,197,366,860,move,human
_ztxvvtulh,182,317,916,move,human
_ztxvvtulh,216,217,971,move,human
_ztxvvtulh,189,109,1027,move,human
_ztxvvtulh,113,59,1083,move,human
_ztxvvtulh,75,37,1138,move,human
