vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
1027.297,8.59,2268.798,767.531,0.747,0.996,-1212.069,-14813.323,8201.627,5873.492,1069.037,1065.188,0.996,4,0.173,2.038,human,_011ba7v1f
1057.892,12.492,3854.417,1173.34,1.109,0.997,-3675.217,-25577.364,12463.112,8161.486,1116.764,964.058,0.863,0,0.082,2.399,human,_065ntdngi
589.942,6.41,2120.97,587.032,0.995,0.997,365.423,-7401.449,12717.406,4543.856,1366.236,1213.149,0.888,7,0.659,2.216,human,_07vbjaxyd
971.738,175.378,2620.52,678.179,0.698,0.933,-945.307,-18615.586,25015.827,9110.167,1563.956,732.247,0.468,7,0.274,2.712,human,_08wqlerpj
352.566,14.925,793.103,258.298,0.733,0.981,-436.415,-3407.178,3531.726,1700.472,466.022,457.529,0.982,4,0.125,1.512,human,_0l3jfrvvt
987.018,44.24,5220.614,1216.571,1.233,0.992,492.518,-42013.92,67253.439,16661.333,1932.408,770.081,0.399,3,0.086,2.451,human,_0tsqag72c
804.64,10.802,5401.395,1433.29,1.781,0.998,-6614.314,-42554.679,8297.903,14961.125,673.319,546.443,0.812,3,0.182,2.342,human,_0wmguu8nk
1226.862,25.854,3985.392,1085.511,0.885,0.994,1206.549,-51512.745,31121.336,21059.138,1109.977,1051.961,0.948,2,0.377,1.767,human,_100r7drgn
626.304,39.229,1884.394,421.959,0.674,0.979,75.708,-12552.836,10083.79,4854.131,2750.863,958.94,0.349,3,0.137,2.228,human,_11j8fjh15
522.068,14.567,1780.323,370.491,0.71,0.992,227.813,-13382.144,34225.091,8720.91,780.903,627.932,0.804,1,0.042,2.356,human,_14r8wexbi
155.375,5.319,245.046,92.687,0.597,0.978,-10.753,-1126.255,1568.419,1147.914,39.421,37.802,0.959,1,0.036,1.099,human,_16fnkgabg
398.576,156.263,620.765,123.505,0.31,0.748,101.974,-3534.041,6285.591,1759.966,811.922,802.752,0.989,0,0.009,2.624,human,_176yqxy9x
610.299,22.964,1604.092,467.557,0.766,0.986,923.872,-6222.965,8591.641,3582.5,1566.991,1314.796,0.839,6,0.348,2.061,human,_18kncl01o
2826.066,4.032,12344.436,3515.983,1.244,1.0,4423.844,-105689.762,120068.28,48878.845,4169.869,37.483,0.009,8,0.503,2.359,human,_1efinwfgd
887.759,135.593,1766.379,503.696,0.567,0.923,-10.657,-19605.176,24931.091,7617.556,1772.464,1311.056,0.74,2,0.145,2.307,human,_1lb8lcs27
1745.183,6.849,4311.238,1478.17,0.847,0.998,211.927,-35340.211,78157.937,27498.827,1434.446,1399.04,0.975,3,0.264,2.206,human,_1pxpcwoo3
368.507,23.923,888.889,324.551,0.881,0.973,277.988,-7665.644,15321.304,6821.268,169.464,141.993,0.838,1,0.72,1.748,human,_1ujj0kedg
1364.396,3.747,5223.24,1642.515,1.204,0.999,-7811.454,-42406.916,10527.781,15976.925,872.393,830.537,0.952,1,0.204,2.025,human,_1vj2i3roy
2095.129,2.387,10942.932,2776.121,1.325,1.0,-3422.653,-115417.889,82660.442,32789.318,4304.767,193.83,0.045,14,0.606,2.743,human,_1y2krr02m
578.309,2.252,1680.618,570.066,0.986,0.999,317.686,-16876.044,24807.474,8423.03,854.601,643.012,0.752,7,0.691,2.155,human,_21ke2oi07
1353.981,26.912,2919.037,843.051,0.623,0.991,-2574.983,-25088.231,18889.95,14540.421,857.686,855.337,0.997,0,0.012,2.303,human,_28o07499e
439.837,8.251,1253.005,357.688,0.813,0.993,-308.888,-10222.562,9444.79,3557.97,986.425,911.653,0.924,6,0.535,2.091,human,_2bsjc5ms2
458.931,38.553,1703.323,406.725,0.886,0.977,179.301,-10097.467,17393.616,4916.534,765.332,710.211,0.928,4,0.146,2.834,human,_2d7qcc3pz
803.871,7.605,2259.213,682.852,0.849,0.997,-1376.072,-11573.738,13008.719,5943.962,839.998,819.036,0.975,1,0.104,2.313,human,_2e407tdeh
243.123,6.07,740.972,180.045,0.741,0.992,286.976,-8263.873,11692.28,3840.437,1092.076,929.659,0.851,2,0.027,2.077,human,_2f8ggng9x
482.476,66.748,1027.208,252.452,0.523,0.935,251.577,-5315.959,12442.452,3544.945,945.61,860.828,0.91,0,0.029,2.989,human,_2gpka837v
836.479,172.414,2153.793,606.372,0.725,0.92,-490.948,-17068.125,26597.97,9248.993,775.48,758.584,0.978,1,0.074,2.396,human,_2ktdzol0s
950.26,28.736,2542.913,794.115,0.836,0.989,275.819,-14989.875,21388.5,8758.392,927.279,871.868,0.94,1,0.092,2.307,human,_2p2b46oek
689.843,34.483,1631.438,469.12,0.68,0.979,-95.332,-14871.976,26613.731,9081.863,797.384,545.297,0.684,5,0.465,2.229,human,_2r2fxzpl1
228.74,0.0,744.38,160.785,0.703,1.0,54.93,-6671.127,7483.558,2337.723,946.687,794.788,0.84,9,0.176,2.12,human,_2s0unsrsi
1985.793,66.667,7392.514,2306.263,1.161,0.991,-517.478,-66867.777,97696.236,37372.815,1425.546,1421.446,0.997,0,0.061,2.485,human,_2t42u8q72
1704.497,80.484,4596.472,1533.465,0.9,0.982,-3687.992,-41005.814,40493.312,19110.355,1055.968,1024.902,0.971,1,0.059,1.973,human,_31631ek6c
1546.02,11.765,6838.75,1986.309,1.285,0.998,2010.279,-57671.319,67414.405,30424.163,1403.486,1339.24,0.954,4,0.306,2.523,human,_33jc0fumu
390.441,0.0,1701.309,451.677,1.157,1.0,783.376,-19723.248,24306.743,8037.901,999.452,969.852,0.97,8,0.508,1.894,human,_33lz855i8
1011.494,26.352,3017.36,983.267,0.972,0.991,-2236.842,-21749.895,15749.554,10593.167,643.593,587.663,0.913,2,0.54,1.887,human,_33uxdydv2
1196.693,28.986,2527.2,774.32,0.647,0.989,-1290.524,-11111.105,16955.982,6716.641,1437.165,1334.404,0.928,1,0.054,2.762,human,_396c7fc7a
1435.767,3.39,7185.017,1729.297,1.204,1.0,1580.638,-51036.616,78866.474,28261.247,2024.849,1631.255,0.806,5,0.415,2.175,human,_39fgmjera
1415.676,17.515,6636.463,1763.552,1.246,0.997,-1375.366,-68339.542,69843.242,27353.313,1581.193,1433.196,0.906,0,0.033,2.625,human,_3ba7e2oyn
1199.929,0.0,2956.545,892.362,0.744,1.0,811.107,-22851.853,32732.746,14392.82,1882.442,1220.015,0.648,4,0.302,2.179,human,_3jl4u8afo
1029.438,20.134,3686.915,1026.178,0.997,0.995,-259.145,-30480.136,16671.142,11247.026,1252.788,913.352,0.729,4,0.084,1.259,human,_3pc43zykl
