session_id,x,y,time,event_type,label
_jio5dzh4x,980,433,1728563390657,move,humain
_jio5dzh4x,880,378,1728563390708,move,humain
_jio5dzh4x,746,323,1728563390766,move,humain
_jio5dzh4x,646,290,1728563390825,move,humain
_jio5dzh4x,616,286,1728563390883,move,humain
_jio5dzh4x,582,292,1728563390941,move,humain
_jio5dzh4x,488,308,1728563390999,move,humain
_jio5dzh4x,440,319,1728563391057,move,humain
_jio5dzh4x,420,340,1728563391116,move,humain
_jio5dzh4x,412,396,1728563391174,move,humain
_jio5dzh4x,410,402,1728563391319,move,humain
_jio5dzh4x,342,338,1728563391374,move,humain
_jio5dzh4x,282,247,1728563391432,move,humain
_jio5dzh4x,268,222,1728563391651,move,humain
_jio5dzh4x,274,137,1728563391706,move,humain
_jio5dzh4x,231,112,1728563391764,move,humain
_jio5dzh4x,198,94,1728563391822,move,humain
_jio5dzh4x,186,87,1728563391881,move,humain
_jio5dzh4x,150,63,1728563391939,move,humain
_jio5dzh4x,102,50,1728563391997,move,humain
_jio5dzh4x,71,41,1728563392055,move,humain
_jio5dzh4x,55,30,1728563392106,move,humain
_jio5dzh4x,51,26,1728563392192,move,humain
_qzjxvr60i,943,382,1728563397996,move,humain
_qzjxvr60i,950,352,1728563398054,move,humain
_qzjxvr60i,938,306,1728563398112,move,humain
_qzjxvr60i,904,254,1728563398170,move,humain
_qzjxvr60i,850,208,1728563398228,move,humain
_qzjxvr60i,786,177,1728563398287,move,humain
_qzjxvr60i,732,160,1728563398345,move,humain
_qzjxvr60i,642,147,1728563398403,move,humain
_qzjxvr60i,555,135,1728563398462,move,humain
_qzjxvr60i,419,125,1728563398519,move,humain
_qzjxvr60i,302,123,1728563398577,move,humain
_qzjxvr60i,166,118,1728563398636,move,humain
_qzjxvr60i,82,119,1728563398694,move,humain
_qzjxvr60i,47,109,1728563398753,move,humain
_qzjxvr60i,34,100,1728563398810,move,humain
_qzjxvr60i,20,87,1728563398869,move,humain
_qzjxvr60i,15,73,1728563398927,move,humain
_qzjxvr60i,16,59,1728563398985,move,humain
_qzjxvr60i,22,43,1728563399044,move,humain
_qzjxvr60i,22,37,1728563399112,move,humain
_qzjxvr60i,24,29,1728563399170,move,humain
_t6j7u5lb5,950,393,1728563403747,move,humain
_t6j7u5lb5,950,347,1728563403801,move,humain
_t6j7u5lb5,923,317,1728563403860,move,humain
_t6j7u5lb5,867,310,1728563403918,move,humain
_t6j7u5lb5,791,346,1728563403976,move,humain
_t6j7u5lb5,768,386,1728563404027,move,humain
_t6j7u5lb5,743,436,1728563404084,move,humain
_t6j7u5lb5,738,447,1728563404237,move,humain
_t6j7u5lb5,700,427,1728563404292,move,humain
_t6j7u5lb5,599,370,1728563404343,move,humain
_t6j7u5lb5,484,314,1728563404401,move,humain
_t6j7u5lb5,450,269,1728563404459,move,humain
_t6j7u5lb5,431,238,1728563404517,move,humain
_t6j7u5lb5,411,211,1728563404576,move,humain
_t6j7u5lb5,383,174,1728563404634,move,humain
_t6j7u5lb5,351,135,1728563404692,move,humain
_t6j7u5lb5,315,107,1728563404750,move,humain
_t6j7u5lb5,274,86,1728563404801,move,humain
_t6j7u5lb5,220,66,1728563404859,move,humain
_t6j7u5lb5,159,37,1728563404917,move,humain
_t6j7u5lb5,123,23,1728563404975,move,humain
_t6j7u5lb5,95,8,1728563405033,move,humain
_t6j7u5lb5,91,7,1728563405111,move,humain
_t6j7u5lb5,78,10,1728563405166,move,humain
_t6j7u5lb5,67,10,1728563405224,move,humain
_t6j7u5lb5,55,14,1728563405283,move,humain
_t6j7u5lb5,50,15,1728563405371,move,humain
_t6j7u5lb5,46,18,1728563405433,move,humain
_zbvq25ylu,177,447,1728563411406,move,humain
_zbvq25ylu,210,418,1728563411464,move,humain
_zbvq25ylu,226,393,1728563411521,move,humain
_zbvq25ylu,222,362,1728563411580,move,humain
_zbvq25ylu,183,323,1728563411638,move,humain
_zbvq25ylu,128,288,1728563411696,move,humain
_zbvq25ylu,94,267,1728563411755,move,humain
_zbvq25ylu,71,233,1728563411813,move,humain
_zbvq25ylu,51,197,1728563411871,move,humain
_zbvq25ylu,26,150,1728563411929,move,humain
_zbvq25ylu,18,111,1728563411980,move,humain
_zbvq25ylu,10,67,1728563412038,move,humain
_zbvq25ylu,8,48,1728563412095,move,humain
_zbvq25ylu,9,35,1728563412146,move,humain
_zbvq25ylu,14,22,1728563412204,move,humain
_zbvq25ylu,22,11,1728563412262,move,humain
_zbvq25ylu,24,10,1728563412477,move,humain
_vedsgsxyb,984,222,1728564632473,move,humain
_vedsgsxyb,958,218,1728564632530,move,humain
_vedsgsxyb,884,198,1728564632587,move,humain
_vedsgsxyb,730,158,1728564632645,move,humain
_vedsgsxyb,601,136,1728564632696,move,humain
_vedsgsxyb,470,131,1728564632754,move,humain
_vedsgsxyb,313,132,1728564632812,move,humain
_vedsgsxyb,216,134,1728564632871,move,humain
_vedsgsxyb,142,134,1728564632929,move,humain
_vedsgsxyb,65,120,1728564632987,move,humain
_vedsgsxyb,40,103,1728564633045,move,humain
_vedsgsxyb,32,83,1728564633103,move,humain
_vedsgsxyb,33,66,1728564633161,move,humain
_vedsgsxyb,33,58,1728564633212,move,humain
_vedsgsxyb,34,43,1728564633270,move,humain
_vedsgsxyb,34,39,1728564633363,move,humain
_vedsgsxyb,34,38,1728564633458,move,humain
_vedsgsxyb,32,35,1728564633511,move,humain
_vedsgsxyb,30,26,1728564633569,move,humain
_cszwg0i7d,679,634,1728573116597,move,humain
_cszwg0i7d,604,533,1728573116650,move,humain
_cszwg0i7d,512,456,1728573116709,move,humain
_cszwg0i7d,430,382,1728573116767,move,humain
_cszwg0i7d,303,296,1728573116825,move,humain
_cszwg0i7d,152,224,1728573116883,move,humain
_cszwg0i7d,48,155,1728573116941,move,humain
_cszwg0i7d,0,102,1728573117000,move,humain
_cszwg0i7d,0,89,1728573117058,move,humain
_cszwg0i7d,8,75,1728573117116,move,humain
_cszwg0i7d,30,55,1728573117174,move,humain
_cszwg0i7d,38,44,1728573117233,move,humain
_cszwg0i7d,42,41,1728573117312,move,humain
_cszwg0i7d,42,28,1728573117365,move,humain
_oqusgb9hs,721,462,1728640821163,move,humain
_oqusgb9hs,705,422,1728640821216,move,humain
_oqusgb9hs,672,375,1728640821273,move,humain
_oqusgb9hs,596,318,1728640821332,move,humain
