vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
277.492,115.159,334.186,54.811,0.198,0.655,47.419,-520.112,627.586,251.988,836.387,793.711,0.949,1,0.032,1.599,robot,_06yyb1nss
971.738,175.378,2620.52,678.179,0.698,0.933,-945.307,-18615.586,25015.827,9110.167,1563.956,732.247,0.468,7,0.274,2.712,human,_08wqlerpj
610.299,22.964,1604.092,467.557,0.766,0.986,923.872,-6222.965,8591.641,3582.5,1566.991,1314.796,0.839,6,0.348,2.061,human,_18kncl01o
747.376,244.936,2990.714,704.193,0.942,0.918,-1502.148,-22173.297,5064.891,6103.053,1143.569,207.617,0.182,1,0.405,0.179,robot,_1e1jcwcsj
980.738,397.777,4514.154,1016.802,1.037,0.912,-2245.655,-34243.566,5266.315,8432.12,1823.888,358.71,0.197,1,0.328,0.15,robot,_1jdfassca
578.309,2.252,1680.618,570.066,0.986,0.999,317.686,-16876.044,24807.474,8423.03,854.601,643.012,0.752,7,0.691,2.155,human,_21ke2oi07
458.931,38.553,1703.323,406.725,0.886,0.977,179.301,-10097.467,17393.616,4916.534,765.332,710.211,0.928,4,0.146,2.834,human,_2d7qcc3pz
803.871,7.605,2259.213,682.852,0.849,0.997,-1376.072,-11573.738,13008.719,5943.962,839.998,819.036,0.975,1,0.104,2.313,human,_2e407tdeh
760.812,291.877,2941.013,704.975,0.927,0.901,-1754.459,-22749.456,4258.95,5805.333,1183.146,211.568,0.179,1,0.392,0.345,robot,_2kh10j66p
950.26,28.736,2542.913,794.115,0.836,0.989,275.819,-14989.875,21388.5,8758.392,927.279,871.868,0.94,1,0.092,2.307,human,_2p2b46oek
1196.693,28.986,2527.2,774.32,0.647,0.989,-1290.524,-11111.105,16955.982,6716.641,1437.165,1334.404,0.928,1,0.054,2.762,human,_396c7fc7a
539.523,203.443,2478.839,572.172,1.061,0.918,-1229.742,-18558.029,2957.518,4721.396,969.657,170.0,0.175,1,0.335,0.616,robot,_3rg32okgs
1270.38,12.5,3001.238,869.01,0.684,0.996,-1957.306,-23415.993,20777.588,13740.819,1104.256,713.257,0.646,5,0.868,2.243,human,_4cxc3bekx
875.878,154.212,2153.793,571.214,0.652,0.928,-216.062,-15310.563,23710.036,8927.853,1069.69,941.252,0.88,2,0.116,2.623,human,_4jofbyj9a
276.928,8.0,536.384,159.72,0.577,0.985,7.831,-1020.56,1285.362,499.064,1076.316,847.871,0.788,3,0.435,0.531,robot,_4vuves9v3
620.75,238.835,2395.474,578.248,0.932,0.9,-1328.17,-16906.634,3339.718,4709.164,943.849,167.586,0.178,1,0.405,0.179,robot,_5dpu0vav5
805.747,315.334,3790.432,845.527,1.049,0.917,-1929.877,-27165.017,4572.21,6851.023,1492.002,296.953,0.199,1,0.328,0.15,robot,_5ds7h6f97
597.232,125.369,1180.122,305.511,0.512,0.894,-391.176,-8314.954,5569.957,4264.491,658.473,613.922,0.932,0,0.025,2.736,human,_5fl0a4bvc
1062.896,365.948,4075.574,970.058,0.913,0.91,-2223.718,-27225.758,6981.538,8047.182,1616.346,311.262,0.193,1,0.409,0.179,robot,_5p2up0aar
1071.472,333.333,4130.355,982.971,0.917,0.919,-2272.249,-30244.253,7232.002,8214.342,1626.393,298.242,0.183,1,0.41,0.179,robot,_5segl8yot
575.736,99.981,1430.619,423.874,0.736,0.93,-817.202,-6247.553,6887.962,3331.647,788.1,571.778,0.726,4,0.275,2.306,human,_5tg3p0cz5
554.861,39.216,1208.491,317.16,0.572,0.968,-546.43,-9243.918,4632.713,3577.413,644.186,435.46,0.676,3,0.114,2.58,human,_5vok0k7al
317.501,6.897,834.027,166.203,0.523,0.992,-68.665,-6529.788,5971.842,2554.664,1021.929,995.904,0.975,2,0.061,1.96,human,_5xz9i1cg7
246.642,20.726,412.471,110.296,0.447,0.95,38.976,-656.664,1122.182,338.917,899.835,816.333,0.907,3,0.193,1.276,robot,_67lyzajoc
216.24,13.423,464.872,177.182,0.819,0.971,-14.287,-1314.381,1737.132,521.303,712.318,628.943,0.883,2,0.154,1.164,robot,_6uee17mod
268.046,106.987,447.612,92.313,0.344,0.761,-74.397,-658.192,472.918,253.529,787.768,768.111,0.975,1,0.035,1.534,robot,_72b4b5sav
941.439,311.928,3748.403,896.232,0.952,0.917,-2127.011,-27544.316,5868.064,7423.517,1480.048,278.237,0.188,1,0.392,0.173,robot,_79a5wujd4
204.035,138.716,309.626,47.122,0.231,0.552,12.327,-234.164,445.859,169.263,829.037,797.077,0.961,0,0.002,2.713,robot,_7ii5n2ya0
1434.029,71.945,3086.4,1010.31,0.705,0.977,-1719.191,-23738.584,19622.822,12047.042,1168.485,942.985,0.807,2,0.243,2.245,human,_7xa9ror07
266.483,6.289,497.61,183.213,0.688,0.987,23.098,-1236.995,1808.448,603.59,898.511,741.896,0.826,5,0.792,0.954,robot,_8f86lhe8u
653.345,9.804,1950.759,583.236,0.893,0.995,425.687,-14396.437,14813.205,7280.184,1169.828,900.434,0.77,9,1.256,2.107,human,_8jq0ronhf
1041.163,65.555,3668.567,1074.311,1.032,0.982,-730.92,-26892.575,27117.694,13716.432,850.511,696.759,0.819,5,0.217,2.205,human,_8k7ntqflv
737.218,34.401,1326.242,466.149,0.632,0.974,-329.326,-14419.215,4041.702,3488.449,984.503,915.05,0.929,3,0.059,2.5,human,_8ulguesj2
975.462,308.727,3829.89,915.748,0.939,0.919,-2024.487,-27909.81,6791.13,7640.953,1534.28,296.516,0.193,1,0.394,0.173,robot,_90kh4e2kh
301.461,16.646,368.276,73.069,0.242,0.955,-49.675,-439.135,393.149,172.377,848.631,771.312,0.909,1,0.258,0.594,robot,_9lwfvadkw
467.457,82.379,1133.35,252.147,0.539,0.927,140.475,-9642.004,10945.874,4217.258,872.654,759.25,0.87,2,0.241,1.998,human,_a3jj4418w
419.255,3.396,827.766,240.404,0.573,0.996,-308.99,-5211.33,5288.433,2700.47,349.044,337.013,0.966,1,0.04,2.352,human,_a82qytcor
629.24,28.644,1851.342,456.371,0.725,0.985,230.641,-9963.858,14025.034,5252.591,1588.976,1183.149,0.745,6,0.233,2.055,human,_a870uyey1
1087.378,31.009,3782.092,896.678,0.825,0.992,-1058.571,-49035.516,25518.601,16217.612,1195.738,831.817,0.696,5,0.346,2.322,human,_adg8xde9v
675.444,254.406,3165.463,722.731,1.07,0.92,-1583.374,-24409.475,4099.183,5884.205,1259.025,222.713,0.177,1,0.324,0.15,robot,_agogif41k
1065.1,392.035,4921.496,1115.131,1.047,0.92,-2455.592,-35945.47,6848.226,9194.36,1987.685,394.203,0.198,1,0.326,0.15,robot,_agvbly89p
370.873,77.106,943.247,212.091,0.572,0.918,-91.031,-10179.51,5072.906,2916.636,578.811,576.585,0.996,0,0.008,2.845,human,_bicko1kk0
897.638,350.452,4162.447,939.261,1.046,0.916,-2112.762,-29961.828,5562.595,7768.334,1667.211,336.158,0.202,1,0.329,0.15,robot,_c0o70orm2
190.787,116.968,350.134,63.721,0.334,0.666,66.557,-262.754,267.322,136.383,552.056,548.409,0.993,0,0.002,2.776,robot,_ca5z7fbe1
779.019,25.0,2634.246,991.791,1.273,0.991,-4159.454,-12820.372,565.844,5170.93,534.757,521.5,0.975,1,0.345,1.242,human,_cwf6sf8yn
934.269,522.133,1483.36,301.174,0.322,0.648,-663.343,-8267.909,10382.536,5610.604,652.16,566.593,0.869,1,0.101,2.146,human,_cye1jmz2k
854.794,328.969,3950.053,897.025,1.049,0.917,-1989.574,-29340.974,5094.646,7442.803,1583.505,313.6,0.198,1,0.328,0.15,robot,_cyu743vgl
231.552,141.955,407.372,52.155,0.225,0.652,-30.067,-465.669,606.358,256.759,816.297,673.734,0.825,0,0.018,2.782,robot,_d7x6tca0z
577.373,188.178,2276.27,547.38,0.948,0.917,-1211.672,-15500.461,3766.792,4431.949,881.702,159.113,0.18,1,0.403,0.179,robot,_e9vw0laj3
218.052,114.358,404.231,79.663,0.365,0.717,-4.464,-484.903,584.553,223.126,1009.423,926.002,0.917,0,0.003,2.895,robot,_epzehl9bk
210.592,99.389,513.959,108.325,0.514,0.807,95.464,-223.018,517.516,215.106,772.416,729.598,0.945,0,0.005,2.689,robot,_fh92j5rq8
769.902,196.582,1721.118,418.403,0.543,0.886,-377.601,-7646.3,12238.524,5295.429,846.694,844.104,0.997,0,0.005,2.659,human,_frf423nb2
1033.533,26.385,2166.201,620.449,0.6,0.988,-477.792,-18764.217,9997.913,6845.731,1307.107,839.434,0.642,4,0.212,2.648,human,_fx4l3v99r
212.863,145.18,413.868,67.852,0.319,0.649,90.111,-172.877,772.956,240.018,760.95,643.012,0.845,0,0.004,2.736,robot,_fyknjgvks
1104.543,52.86,2948.373,866.514,0.784,0.982,-2681.634,-9941.782,8423.904,4990.403,1215.747,1148.496,0.945,1,0.038,2.505,human,_g02pu7jd9
249.949,69.374,364.129,92.857,0.372,0.809,-5.969,-636.255,794.086,321.405,821.982,695.438,0.846,3,0.038,2.244,robot,_g4odup178
1121.379,59.666,3887.605,955.818,0.852,0.985,-2059.429,-36695.996,30396.994,13368.88,1756.937,877.246,0.499,7,0.286,2.598,human,_g5789s7c2
198.498,131.939,248.893,34.121,0.172,0.47,-12.693,-322.236,492.631,175.796,782.656,774.123,0.989,0,0.003,2.691,robot,_giuhry1h1
1046.416,366.676,3993.654,953.764,0.911,0.908,-2229.385,-26716.377,6090.731,7922.934,1598.163,312.194,0.195,1,0.408,0.179,robot,_h0brnshk1
898.748,295.15,3489.728,836.86,0.931,0.915,-1869.094,-23729.565,6193.114,6955.968,1370.453,246.917,0.18,1,0.41,0.179,robot,_h8abejn97
231.886,11.405,387.61,115.241,0.497,0.971,67.082,-765.088,1178.964,357.77,914.771,801.411,0.876,4,0.201,1.342,robot,_hjswrayxd
1124.283,7.299,2419.943,842.693,0.75,0.997,-2774.66,-37754.849,11326.646,12425.925,826.943,766.164,0.927,3,0.127,2.369,human,_hrvetyzwb
1085.56,338.471,4307.016,1032.557,0.951,0.921,-2342.685,-32105.605,8167.819,8631.095,1706.846,324.099,0.19,1,0.391,0.173,robot,_hwhglqvim
220.06,31.746,376.557,123.373,0.561,0.916,-41.156,-534.895,969.573,261.88,935.386,853.084,0.912,2,0.069,1.391,robot,_hx22llaet
575.267,177.658,2243.717,557.706,0.969,0.921,-1166.256,-18065.171,3938.072,4603.302,880.198,131.712,0.15,1,0.41,0.47,robot,_hy49n5dkc
224.039,157.233,262.754,27.296,0.122,0.402,-4.478,-329.841,397.797,182.824,768.339,677.177,0.881,0,0.002,2.618,robot,_i5qtcmrvo
